==================================================
RESOLUTION STATISTICS
==================================================

REAL Category:
------------------------------
Total videos: 7000
  1920x1080: 1848 (26.4%)
  640x360: 1158 (16.5%)
  298x224: 1000 (14.3%)
  1280x720: 954 (13.6%)
  1080x1920: 395 (5.6%)
  480x360: 244 (3.5%)
  360x640: 178 (2.5%)
  640x480: 170 (2.4%)
  3840x2160: 137 (2.0%)
  320x240: 96 (1.4%)
  406x720: 60 (0.9%)
  1280x960: 52 (0.7%)
  540x360: 36 (0.5%)
  640x362: 34 (0.5%)
  404x720: 31 (0.4%)
  362x640: 28 (0.4%)
  960x720: 28 (0.4%)
  568x320: 28 (0.4%)
  204x360: 23 (0.3%)
  640x358: 18 (0.3%)
  202x360: 17 (0.2%)
  640x640: 15 (0.2%)
  270x360: 15 (0.2%)
  360x360: 13 (0.2%)
  640x352: 11 (0.2%)
  2560x1440: 11 (0.2%)
  720x1280: 11 (0.2%)
  854x480: 10 (0.1%)
  192x144: 10 (0.1%)
  640x368: 9 (0.1%)
  432x720: 9 (0.1%)
  640x356: 8 (0.1%)
  480x270: 7 (0.1%)
  654x360: 7 (0.1%)
  480x320: 6 (0.1%)
  368x640: 6 (0.1%)
  450x360: 6 (0.1%)
  352x288: 6 (0.1%)
  176x144: 6 (0.1%)
  1270x720: 6 (0.1%)
  640x296: 5 (0.1%)
  1440x1080: 5 (0.1%)
  480x272: 5 (0.1%)
  486x360: 5 (0.1%)
  640x426: 4 (0.1%)
  480x640: 4 (0.1%)
  640x298: 4 (0.1%)
  960x540: 4 (0.1%)
  426x240: 4 (0.1%)
  1080x720: 4 (0.1%)
  490x360: 4 (0.1%)
  320x180: 4 (0.1%)
  540x302: 3 (0.0%)
  640x346: 3 (0.0%)
  296x640: 3 (0.0%)
  640x304: 3 (0.0%)
  640x320: 3 (0.0%)
  1280x852: 3 (0.0%)
  1080x1080: 3 (0.0%)
  1920x1440: 3 (0.0%)
  720x480: 3 (0.0%)
  640x484: 2 (0.0%)
  320x640: 2 (0.0%)
  320x568: 2 (0.0%)
  288x640: 2 (0.0%)
  640x344: 2 (0.0%)
  640x442: 2 (0.0%)
  640x302: 2 (0.0%)
  374x640: 2 (0.0%)
  640x350: 2 (0.0%)
  640x272: 2 (0.0%)
  1280x736: 2 (0.0%)
  1920x1088: 2 (0.0%)
  636x360: 2 (0.0%)
  3200x1800: 2 (0.0%)
  2048x1152: 2 (0.0%)
  3840x2026: 2 (0.0%)
  848x480: 2 (0.0%)
  720x720: 2 (0.0%)
  400x226: 2 (0.0%)
  528x360: 2 (0.0%)
  480x720: 2 (0.0%)
  352x240: 2 (0.0%)
  160x120: 2 (0.0%)
  400x300: 2 (0.0%)
  480x352: 2 (0.0%)
  492x360: 2 (0.0%)
  428x240: 2 (0.0%)
  384x288: 2 (0.0%)
  600x360: 2 (0.0%)
  240x176: 2 (0.0%)
  400x224: 2 (0.0%)
  1276x720: 2 (0.0%)
  240x180: 2 (0.0%)
  322x240: 2 (0.0%)
  626x360: 2 (0.0%)
  542x360: 2 (0.0%)
  638x360: 2 (0.0%)
  360x480: 2 (0.0%)
  800x592: 2 (0.0%)
  384x640: 1 (0.0%)
  354x640: 1 (0.0%)
  640x584: 1 (0.0%)
  640x586: 1 (0.0%)
  640x430: 1 (0.0%)
  640x400: 1 (0.0%)
  352x640: 1 (0.0%)
  320x404: 1 (0.0%)
  380x640: 1 (0.0%)
  640x342: 1 (0.0%)
  450x640: 1 (0.0%)
  640x568: 1 (0.0%)
  298x640: 1 (0.0%)
  600x450: 1 (0.0%)
  640x388: 1 (0.0%)
  636x640: 1 (0.0%)
  640x372: 1 (0.0%)
  640x370: 1 (0.0%)
  544x544: 1 (0.0%)
  504x480: 1 (0.0%)
  640x492: 1 (0.0%)
  640x394: 1 (0.0%)
  1648x740: 1 (0.0%)
  480x332: 1 (0.0%)
  540x540: 1 (0.0%)
  304x640: 1 (0.0%)
  640x308: 1 (0.0%)
  640x288: 1 (0.0%)
  640x364: 1 (0.0%)
  640x1140: 1 (0.0%)
  640x392: 1 (0.0%)
  640x268: 1 (0.0%)
  640x354: 1 (0.0%)
  504x504: 1 (0.0%)
  640x626: 1 (0.0%)
  640x330: 1 (0.0%)
  640x262: 1 (0.0%)
  466x640: 1 (0.0%)
  640x300: 1 (0.0%)
  640x376: 1 (0.0%)
  640x280: 1 (0.0%)
  640x374: 1 (0.0%)
  640x326: 1 (0.0%)
  640x478: 1 (0.0%)
  486x486: 1 (0.0%)
  640x422: 1 (0.0%)
  640x434: 1 (0.0%)
  640x528: 1 (0.0%)
  1920x1056: 1 (0.0%)
  1920x770: 1 (0.0%)
  1906x1080: 1 (0.0%)
  1920x1072: 1 (0.0%)
  1280x800: 1 (0.0%)
  1280x1280: 1 (0.0%)
  1920x2560: 1 (0.0%)
  1280x724: 1 (0.0%)
  1920x1076: 1 (0.0%)
  3840x1632: 1 (0.0%)
  460x258: 1 (0.0%)
  2160x1080: 1 (0.0%)
  2048x1128: 1 (0.0%)
  3264x1836: 1 (0.0%)
  1428x1080: 1 (0.0%)
  1080x1350: 1 (0.0%)
  1280x712: 1 (0.0%)
  3840x2060: 1 (0.0%)
  3812x2160: 1 (0.0%)
  1424x1080: 1 (0.0%)
  3780x2160: 1 (0.0%)
  2048x858: 1 (0.0%)
  1920x998: 1 (0.0%)
  3840x1600: 1 (0.0%)
  3840x2076: 1 (0.0%)
  2880x2160: 1 (0.0%)
  1920x864: 1 (0.0%)
  984x720: 1 (0.0%)
  1920x854: 1 (0.0%)
  1068x720: 1 (0.0%)
  852x480: 1 (0.0%)
  1920x1024: 1 (0.0%)
  3840x1446: 1 (0.0%)
  1444x1080: 1 (0.0%)
  1920x728: 1 (0.0%)
